27/10/2021	13:05
Experiment Type:	Sizing
Pseudo Cross Correlation
Scattering angle:	90.0
Duration (s):	60
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.969
Temperature (K):	294.5
Laser intensity (mW):	81.918000
Average Count rate  A (kHz):	7.5
Average Count rate  B (kHz):	7.6
Intercept:	1.0000
Cumulant 1st	-Inf
Cumulant 2nd	-Inf	NaN
Cumulant 3rd	-Inf	NaN

Lag time (s)         g2-1
0.003686	0.001884
0.004096	0.000518
0.004506	-0.001022
0.004915	0.000232
0.005325	-0.000365
0.005734	0.000169
0.006144	0.000198
0.006554	0.000405
0.007373	-0.000362
0.008192	0.000173
0.009011	0.001249
0.009830	-9.489388E-5
0.010650	0.000186
0.011469	0.000367
0.012288	-0.000251
0.013107	0.000165
0.014746	0.000245
0.016384	0.000239
0.018022	0.001460
0.019661	0.000836
0.021299	-0.000114
0.022938	0.000607
0.024576	0.000761
0.026214	0.001109
0.029491	0.000561
0.032768	0.000312
0.036045	0.001053
0.039322	0.000295
0.042598	0.000114
0.045875	0.000338
0.049152	0.000663
0.052429	0.000716
0.058982	0.000373
0.065536	0.000555
0.072090	0.000792
0.078643	0.000450
0.085197	0.000437
0.091750	0.000892
0.098304	0.000830
0.104858	0.000852
0.117965	0.000894
0.131072	0.000609
0.144179	0.000689
0.157286	0.000572
0.170394	0.000622
0.183501	0.000890
0.196608	0.000642
0.209715	0.000642
0.235930	0.000661
0.262144	0.000736
0.288358	0.000648
0.314573	0.000742
0.340787	0.000696
0.367002	0.000798
0.393216	0.000655
0.419430	0.000770
0.471859	0.000664
0.524288	0.000656
0.576717	0.000811
0.629146	0.000746
0.681574	0.000728
0.734003	0.000671
0.786432	0.000775
0.838861	0.000866
0.943718	0.001156
1.048576	0.001282
1.153434	0.001246
1.258291	0.001123
1.363149	0.001185
1.468006	0.001311
1.572864	0.001394
1.677722	0.001355
1.887437	0.001335
2.097152	0.001466
2.306867	0.001495
2.516582	0.001425
2.726298	0.001362
2.936013	0.001493
3.145728	0.001701
3.355443	0.001630
3.774873	0.001855
4.194304	0.001618
4.613734	0.001779
5.033165	0.001794
5.452595	0.002021
5.872025	0.002357
6.291456	0.003048
6.710886	0.003047
7.549747	0.002966
8.388608	0.003358
9.227468	0.003878
10.066330	0.003927
10.905190	0.004564
11.744051	0.004599
12.582912	0.005059
13.421773	0.005797
15.099494	0.006021
16.777216	0.007013
18.454937	0.008287
20.132660	0.009229
21.810381	0.010170
23.488102	0.012628
25.165825	0.013906
26.843546	0.016245
30.198988	0.020371
33.554432	0.025266
36.909874	0.029861
40.265320	0.032083
43.620762	0.034095
46.976204	0.034709
50.331650	0.033778

Count Rate History (KHz)  CR CHA / CR CHB
0.000000	6.504059	7.228851
0.052429	7.610321	7.362366
0.104858	8.335114	7.896423
0.157286	7.820129	7.228851
0.209715	7.457733	7.209778
0.262144	7.476807	7.171631
0.314573	7.686615	7.686615
0.367002	7.610321	7.934570
0.419430	6.885529	7.610321
0.471859	6.961823	7.781982
0.524288	7.934570	7.209778
0.576717	7.572174	7.038116
0.629146	7.495880	7.743835
0.681574	7.839203	6.847382
0.734003	7.266998	7.686615
0.786432	6.923676	7.247925
0.838861	7.038116	7.152557
0.891290	6.980896	6.294250
0.943718	7.457733	7.286072
0.996147	7.343292	6.484985
1.048576	6.866455	7.209778
1.101005	7.495880	7.858276
1.153434	7.572174	7.858276
1.205862	7.610321	7.934570
1.258291	6.961823	7.648468
1.310720	7.381439	7.362366
1.363149	7.743835	7.019043
1.415578	6.809235	7.438660
1.468006	7.915497	6.942749
1.520435	7.190704	7.247925
