27/10/2021	12:56
Experiment Type:	Sizing
Pseudo Cross Correlation
Scattering angle:	15.0
Duration (s):	60
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.980
Temperature (K):	294.0
Laser intensity (mW):	0.131075
Average Count rate  A (kHz):	248.4
Average Count rate  B (kHz):	233.0
Intercept:	1.0000
Cumulant 1st	-Inf
Cumulant 2nd	-Inf	NaN
Cumulant 3rd	-Inf	NaN

Lag time (s)         g2-1
5.295309	248.222351	230.922699
5.347738	253.715515	237.159729
5.400166	249.462128	232.601166
5.452595	253.257751	236.988068
5.505024	248.584747	237.464905
5.557453	253.334045	234.260559
5.609882	256.404877	235.214233
5.662310	251.770020	239.353180
5.714739	253.124237	235.767365
5.767168	251.655579	235.061646
5.819597	256.519318	239.562988
5.872026	256.977081	239.219666
5.924454	255.985260	242.862701
5.976883	257.186890	240.192413
6.029312	260.009766	241.222382
6.081741	258.712769	242.290497
6.134170	257.930756	237.426758
6.186598	260.715485	242.347717
6.239027	253.925323	241.451263
6.291456	256.233215	239.429474
6.343885	258.178711	238.170624
6.396314	255.813599	242.500305
6.448742	253.219604	236.549377
6.501171	253.295898	241.203308
6.553600	250.816345	236.434937
6.606029	255.470276	240.573883
6.658458	251.827240	238.170624
6.710886	254.898071	238.475800
6.763315	249.500275	235.443115
6.815744	257.720947	238.933563
6.868173	252.399445	236.530304
6.920602	253.124237	238.933563
6.973030	242.652893	233.173370
7.025459	248.451233	236.930847
7.077888	247.592926	237.236023
7.130317	243.721008	229.644775
7.182746	246.124268	229.415894
7.235174	243.492126	234.451294
7.287603	245.056152	230.884552
7.340032	244.407654	228.633881
7.392461	246.734619	228.061676
7.444890	243.988037	228.538513
7.497318	248.603821	229.320526
7.549747	244.922638	227.508545
7.602176	240.402222	227.775574
7.654605	240.154266	224.170685
7.707034	239.620209	222.816467
7.759462	244.960785	230.255127
7.811891	241.489410	227.088928
7.864320	239.868164	226.554871
7.916749	238.647461	226.154327
7.969178	242.290497	224.876404
8.021606	241.870880	224.113464
8.074035	233.688354	223.903656
8.126464	243.244171	225.944519
8.178893	241.928101	225.887299
8.231322	244.159698	230.007172
8.283750	245.819092	226.631165
8.336179	247.917175	228.767395
8.388608	243.358612	228.195190
8.441037	248.775482	233.974457
8.493466	250.778198	230.045319
8.545894	248.966217	233.993530
8.598323	242.595673	225.200653
8.650752	248.661041	232.124329
8.703181	251.789093	238.075256
8.755610	253.429413	231.323242
8.808038	250.377655	234.661102
8.860467	251.102448	238.513947
8.912896	249.843597	235.195160
8.965325	249.671936	233.135223
9.017754	248.680115	233.917236
9.070182	249.118805	235.652924
9.122611	252.037048	237.541199
9.175040	253.467560	238.971710
9.227469	254.344940	238.952637
9.279898	254.936218	236.148834
9.332326	253.124237	239.601135
9.384755	253.200531	235.233307
9.437184	251.865387	242.290497
9.489613	260.639191	238.704681
9.542042	254.955292	238.399506
9.594470	251.808167	236.263275
9.646899	253.658295	233.516693
9.699328	252.819061	238.304138
9.751757	252.246857	242.614746
9.804186	255.336761	240.612030
9.856614	254.001617	242.118835
9.909043	253.047943	239.372253
9.961472	251.216888	235.309601
10.013901	250.949860	235.519409
10.066330	246.505737	235.767365
10.118758	247.745514	235.290527
10.171187	245.971680	233.669281
10.223616	245.399475	228.824615
10.276045	246.677399	233.306885
10.328474	241.966248	226.726532
10.380902	241.279602	226.860046
10.433331	245.227814	231.628418
10.485760	240.535736	227.966309
10.538189	238.189697	225.543976
10.590618	243.663788	224.838257
10.643046	243.167877	227.336884
10.695475	246.334076	232.105255
10.747904	246.658325	234.756470
10.800333	247.535706	229.148865
10.852762	246.639252	230.636597
10.905190	246.734619	230.216980
10.957619	239.982605	228.424072
11.010048	242.824554	226.535797
